qnrnumb;visit;howoft;likenet;research;safeweb;goodtool;notouse;another;likeproc;hassle;visits;friend;billbrd;banner;surfing;sengine;tv;theater;nwspaper;other;easyuse;helpful;positive;useonly;influenc;secure;didbuy;better;howmuch;safe;wanttest;price;tradein;handson;checkit;noweeks;worth;sticker;actual;age;marital;children;educate;race;income;gender
324;Yes;Very often;Agree;Neutral;Strongly Agree;Strongly Agree;Neutral;Neutral;Strongly Agree;Neutral;13;No;No;No;No;No;Yes;No;No;No;Neutral;Strongly Agree;Agree;Disagree;Agree;Strongly Agree;No; ; ;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Agree;Neutral;8;17000;22000;21000;39;Married;2;Other;Caucasian;Over $110,000;Male
325;Yes;Often;Agree;Agree;Agree;Agree;Neutral;Neutral;Strongly Disagree;Neutral;8;No;No;No;No;No;Yes;No;No;No;Strongly Agree;Neutral;Neutral;Agree;Agree;Agree;No; ; ;Agree;Agree;Strongly Disagree;Strongly Agree;Neutral;Strongly Disagree;3;8000;13000;11000;30;Married;1;Undergraduate degree;Asian;$95,000 - $110,000;Male
326;Yes;Often;Agree;Agree;Neutral;Agree;Strongly Disagree;Neutral;Strongly Disagree;Strongly Agree;7;No;No;No;No;No;No;No;No;No;Strongly Agree;Disagree;Neutral;Agree;Neutral;Neutral;No; ; ;Strongly Disagree;Agree;Neutral;Strongly Agree;Strongly Agree;Disagree;5;4000;10000;7000;36;Single; ;Graduate degree;Black;Under $35,000;Male
327;Yes;Almost never;Disagree;Neutral;Disagree;Disagree;Strongly Agree;Disagree;Strongly Agree;Neutral;7;No;No;No;No;No;No;No;No;No;Strongly Agree;Neutral;Neutral;Strongly Disagree;Agree;Strongly Agree;No; ; ;Agree;Strongly Agree;Strongly Agree;Disagree;Agree;Strongly Disagree;2;12000;17000;15000;47;Single; ;Less than high school;Black;$65,000 - $80,000;Female
328;Yes;Occasionally;Disagree;Agree;Neutral;Agree;Agree;Disagree;Strongly Disagree;Strongly Agree;7;No;No;No;No;Yes;Yes;No;No;No;Strongly Agree;Disagree;Neutral;Disagree;Agree;Agree;No; ; ;Disagree;Agree;Strongly Agree;Disagree;Strongly Agree;Strongly Disagree;4;8000;12000;10000;43;Single; ;Less than high school;Caucasian;$50,000 - $65,000;Male
329;Yes;Often;Agree;Strongly Agree;Agree;Agree;Neutral;Strongly Disagree;Strongly Disagree;Strongly Disagree;8;No;No;No;No;No;Yes;No;No;No;Neutral;Agree;Agree;Strongly Disagree;Neutral;Agree;No; ; ;Agree;Strongly Agree;Strongly Disagree;Strongly Agree;Strongly Agree;Strongly Disagree;3;15000;20000;17000;37;Widowed;1;Graduate degree;Caucasian;Over $110,000;Female
330;Yes;Never;Agree;Strongly Disagree;Strongly Disagree;Strongly Disagree;Strongly Agree;Strongly Disagree;Strongly Disagree;Strongly Agree;6;No;No;No;No;Yes;No;No;No;No;Agree;Neutral;Neutral;Disagree;Strongly Agree;Agree;Yes;Yes;Much better;Strongly Agree;Strongly Agree;Agree;Strongly Disagree;Disagree;Strongly Disagree;7;6000;10000;7000;34;Single; ;Graduate degree;Caucasian;Under $35,000;Female
331;Yes;Never;Disagree;Disagree;Strongly Disagree;Strongly Disagree;Disagree;Neutral;Agree;Agree;3;No;No;No;Yes;Yes;No;No;No;No;Strongly Agree;Neutral;Neutral;Strongly Disagree;Neutral;Agree;No; ; ;Strongly Agree;Strongly Agree;Agree;Strongly Disagree;Strongly Disagree;Disagree;4;7000;11000;9000;30;Married;2;Other;Caucasian;Over $110,000;Male
332;Yes;Very often;Agree;Strongly Agree;Strongly Agree;Neutral;Neutral;Disagree;Agree;Agree;11;No;No;Yes;No;Yes;No;No;No;No;Strongly Agree;Strongly Agree;Agree;Strongly Disagree;Agree;Strongly Agree;No; ; ;Neutral;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Disagree;2;8000;13000;11000;37;Married;2;Undergraduate degree;Caucasian;$95,000 - $110,000;Male
333;Yes;Very often;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Neutral;Strongly Disagree;Strongly Disagree;Neutral;12;No;No;Yes;Yes;Yes;No;No;No;No;Agree;Neutral;Strongly Disagree;Neutral;Neutral;Strongly Agree;No; ; ;Strongly Agree;Strongly Agree;Disagree;Neutral;Agree;Strongly Disagree;6;14000;20000;17000;38;Married;2;Undergraduate degree;Caucasian;$95,000 - $110,000;Male
334;Yes;Often;Agree;Strongly Agree;Agree;Neutral;Disagree;Strongly Disagree;Disagree;Strongly Agree;7;Yes;No;No;Yes;Yes;No;No;Yes;No;Strongly Agree;Strongly Agree;Disagree;Strongly Disagree;Agree;Strongly Agree;No; ; ;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Disagree;Strongly Agree;Neutral;6; ;12000;10000;43;Single; ;Less than high school;Caucasian;$35,000 - $50,000;Male
335;Yes;Often;Agree;Agree;Agree;Strongly Disagree;Strongly Agree;Disagree;Strongly Disagree;Strongly Disagree;10;No;Yes;Yes;No;Yes;No;No;No;No;Strongly Agree;Neutral;Agree;Disagree;Agree;Strongly Agree;No; ; ;Neutral;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Strongly Disagree;7;21000;26000;23000;42;Married;0;Graduate degree;Caucasian;Over $110,000;Male
336;Yes;Almost never;Neutral;Neutral;Disagree;Neutral;Agree;Strongly Disagree;Disagree;Strongly Agree;5;No;No;No;No;No;No;No;Yes;No;Neutral;Agree;Agree;Strongly Disagree;Neutral;Strongly Agree;No; ; ;Neutral;Strongly Agree;Strongly Agree;Strongly Agree;Disagree;Disagree;2;8000;12000;10000;27;Single; ;Graduate degree;Asian;$95,000 - $110,000;Female
337;Yes;Almost never;Disagree;Neutral;Disagree;Disagree;Neutral;Agree;Strongly Disagree;Strongly Agree;7;No;Yes;No;No;No;No;No;No;No;Strongly Agree;Agree;Neutral;Strongly Disagree;Agree;Strongly Agree;No; ; ;Neutral;Strongly Agree;Strongly Disagree;Strongly Disagree;Strongly Disagree;Strongly Disagree;2;16000;21000;19000;46;Divorced;1;Other;Hispanic;Over $110,000;Female
338;Yes;Often;Agree;Strongly Agree;Agree;Agree;Strongly Disagree;Strongly Disagree;Disagree;Strongly Disagree;9;No;No;No;Yes;Yes;No;No;No;Yes;Agree;Neutral;Agree;Agree;Agree;Agree;No; ; ;Agree;Strongly Agree;Strongly Disagree;Strongly Agree;Agree;Disagree;2;3000;10000;8000;48;Divorced;1;High school;Caucasian;$65,000 - $80,000;Male
339;Yes;Very often;Strongly Agree;Agree;Strongly Agree;Strongly Agree;Disagree;Agree;Disagree;Strongly Disagree;15;No;No;No;Yes;No;Yes;No;No;No;Strongly Agree;Strongly Agree;Neutral;Strongly Disagree;Agree;Agree;Yes;Yes;Somewhat better;Strongly Disagree;Strongly Agree;Disagree;Strongly Disagree;Strongly Agree;Disagree;3;1000;10000;6000;21;Married;3;Other;Caucasian;$35,000 - $50,000;Male
340;Yes;Occasionally;Neutral;Agree;Neutral;Neutral;Neutral;Strongly Disagree;Neutral;Neutral;11;No;No;Yes;No;Yes;No;No;No;No;Strongly Agree;Disagree;Disagree;Agree;Neutral;Agree;No; ; ;Agree;Strongly Agree;Strongly Agree;Strongly Disagree;Agree;Strongly Disagree;4;22000;27000;25000;24;Single; ;Other;Caucasian;Over $110,000;Female
341;Yes;Occasionally;Agree;Agree;Neutral;Agree;Disagree;Strongly Disagree;Strongly Disagree;Strongly Agree;7;No;No;Yes;Yes;Yes;No;Yes;No;No;Strongly Agree;Neutral;Agree;Strongly Disagree;Agree;Strongly Agree;No; ; ;Disagree;Strongly Agree;Neutral;Strongly Disagree;Agree;Neutral;5;17000;22000;21000;29;Married;1;Other;Black;Over $110,000;Male
342;Yes;Very often;Agree;Strongly Disagree;Strongly Agree;Strongly Agree;Strongly Disagree;Neutral;Strongly Disagree;Strongly Disagree;10;No;No;No;Yes;No;No;No;No;No;Strongly Agree;Agree;Agree;Agree;Neutral;Agree;No; ; ;Strongly Disagree;Agree;Strongly Agree;Strongly Disagree;Agree;Strongly Disagree;1;12000;19000;18000;39;Married;0;Graduate degree;Caucasian;$95,000 - $110,000;Male
343;Yes;Almost never;Disagree;Neutral;Disagree;Disagree;Neutral;Neutral;Strongly Disagree;Strongly Agree;3;No;No;Yes;No;Yes;No;No;No;No;Disagree;Disagree;Agree;Strongly Disagree;Agree;Strongly Agree;No; ; ;Strongly Agree;Strongly Agree;Strongly Disagree;Strongly Agree;Strongly Agree;Disagree;2;5000;10000;8000;40;Single; ;Graduate degree;Caucasian;$35,000 - $50,000;Female
344;Yes;Never;Strongly Disagree;Strongly Disagree;Strongly Disagree;Disagree;Strongly Agree;Strongly Disagree;Strongly Disagree;Disagree;2;No;No;No;Yes;No;Yes;No;No;No;Agree;Agree;Agree;Strongly Disagree;Strongly Agree;Agree;No; ; ;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Disagree;4;8000;14000;13000;54;Single; ;High school;Caucasian;$65,000 - $80,000;Male
345;Yes;Occasionally;Neutral;Neutral;Neutral;Neutral;Disagree;Agree;Neutral;Strongly Disagree;8;No;No;No;No;No;No;No;No;No;Neutral;Strongly Agree;Strongly Agree;Neutral;Agree;Strongly Agree;Yes;Yes;Somewhat better;Strongly Disagree;Strongly Agree;Disagree;Disagree;Strongly Agree;Strongly Disagree;1;7000;12000;8000;37;Single; ;Undergraduate degree;American Indian;$80,000 - $95,000;Male
346;Yes;Occasionally;Neutral;Agree;Neutral;Neutral;Neutral;Strongly Disagree;Disagree;Strongly Agree;6;No;No;No;Yes;No;Yes;No;No;No;Strongly Agree;Neutral;Neutral;Strongly Disagree;Strongly Agree;Agree;No; ; ;Strongly Agree;Agree;Strongly Disagree;Neutral;Agree;Strongly Disagree;7;7000;12000;10000;36;Separated;2;Undergraduate degree;Caucasian;$95,000 - $110,000;Female
347;Yes;Occasionally;Neutral;Agree;Neutral;Agree;Agree;Disagree;Strongly Disagree;Disagree;9;No;No;Yes;No;No;Yes;No;No;No;Disagree;Agree;Agree;Disagree;Agree;Neutral;No; ; ;Strongly Disagree;Agree;Strongly Agree;Strongly Disagree;Strongly Agree;Strongly Disagree;3;6000;10000;8000;31;Divorced;0;Some college;Caucasian;$65,000 - $80,000;Male
348;Yes;Occasionally;Neutral;Agree;Neutral;Disagree;Agree;Strongly Agree;Strongly Disagree;Strongly Agree;5;No;No;No;Yes;No;No;No;No;No;Disagree;Disagree;Agree;Neutral;Strongly Agree;Strongly Agree;Yes;Yes;A great deal better;Strongly Disagree;Agree;Disagree;Neutral;Neutral;Strongly Disagree;5;3000;10000;8000;39;Divorced;2;High school;Black;$50,000 - $65,000;Male
349;Yes;Almost never;Neutral;Neutral;Disagree;Neutral;Strongly Disagree;Strongly Disagree;Strongly Disagree;Strongly Disagree;6;No;No;No;Yes;No;No;No;No;No;Neutral;Neutral;Agree;Agree;Strongly Agree;Neutral;No; ; ;Disagree;Agree;Strongly Disagree;Strongly Agree;Strongly Agree;Strongly Agree;7;14000;19000;17000;51;Married;3;Undergraduate degree;Black;Over $110,000;Male
350;Yes;Occasionally;Neutral;Agree;Neutral;Neutral;Strongly Agree;Neutral;Disagree;Neutral;9;No;No;No;No;Yes;No;No;No;No;Strongly Agree;Neutral;Agree;Disagree;Agree;Agree;No; ; ;Neutral;Neutral;Strongly Disagree;Strongly Agree;Strongly Agree;Strongly Disagree;1;7000;12000;10000;29;Single; ;Some college;Caucasian;$65,000 - $80,000;Male
351;Yes;Never;Strongly Disagree;Strongly Disagree;Strongly Disagree;Agree;Neutral;Strongly Disagree;Disagree;Strongly Disagree;3;No;No;No;No;Yes;No;No;No;No;Neutral;Strongly Agree;Neutral;Strongly Disagree;Neutral;Agree;No; ; ;Neutral;Strongly Agree;Neutral;Strongly Disagree;Strongly Agree;Strongly Disagree;6;10000;16000;13000;43;Divorced;2;High school;Caucasian;$65,000 - $80,000;Male
352;Yes;Never;Strongly Disagree;Disagree;Strongly Disagree;Disagree;Agree;Neutral;Strongly Disagree;Neutral;3;No;No;No;Yes;Yes;Yes;No;No;No;Strongly Agree;Agree;Strongly Agree;Disagree;Strongly Agree;Strongly Agree;Yes;Yes;Much better;Disagree;Strongly Agree;Strongly Disagree;Agree;Strongly Agree;Disagree;1;2000;10000;6000;37;Single; ;Some college;Caucasian;$65,000 - $80,000;Male
353;Yes;Never;Disagree;Strongly Disagree;Strongly Disagree;Strongly Disagree;Strongly Agree;Strongly Disagree;Strongly Disagree;Strongly Agree;4;No;No;No;No;No;No;No;Yes;No;Agree;Strongly Agree;Neutral;Disagree;Agree;Strongly Agree;No; ; ;Strongly Agree;Strongly Agree;Strongly Agree;Neutral;Strongly Agree;Strongly Disagree;5;9000;15000;13000;34;Divorced;1;Some college;Asian;Under $35,000;Male
354;Yes;Occasionally;Neutral;Agree;Neutral;Neutral;Neutral;Neutral;Agree;Strongly Agree;6;No;No;No;No;Yes;No;No;No;No;Agree;Agree;Agree;Strongly Disagree;Strongly Agree;Agree;Yes;Yes;A great deal better;Strongly Disagree;Strongly Agree;Strongly Disagree;Strongly Agree;Agree;Strongly Disagree;1;15000;21000;18000;55;Divorced;1;Undergraduate degree;Asian;$95,000 - $110,000;Male
355;Yes;Occasionally;Neutral;Neutral;Neutral;Disagree;Neutral;Neutral;Disagree;Disagree;5;No;No;No;No;Yes;No;No;No;No;Disagree;Disagree;Neutral;Disagree;Agree;Agree;No; ; ;Neutral;Strongly Agree;Neutral;Disagree;Strongly Agree;Strongly Disagree;6;9000;16000;14000;37;Married;1;Graduate degree;Caucasian;$95,000 - $110,000;Male
356;Yes;Very often;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Neutral;Neutral;Agree;Neutral;10;No;No;No;Yes;No;Yes;No;No;No;Strongly Agree;Disagree;Agree;Disagree;Agree;Strongly Agree;No; ; ;Disagree;Agree;Strongly Disagree;Strongly Agree;Agree;Strongly Disagree;6;7000;12000;10000;28;Separated;3;High school;Asian;$65,000 - $80,000;Male
357;Yes;Never;Strongly Disagree;Disagree;Strongly Disagree;Strongly Disagree;Strongly Agree;Disagree;Disagree;Strongly Agree;3;No;No;No;No;Yes;No;No;No;No;Agree;Disagree;Neutral;Strongly Agree;Agree;Strongly Agree;No; ; ;Strongly Disagree;Agree;Strongly Disagree;Agree;Agree;Disagree;7;10000;15000;13000;43;Single; ;High school;Asian;$65,000 - $80,000;Male
358;Yes;Almost never;Disagree;Disagree;Disagree;Disagree;Neutral;Neutral;Strongly Disagree;Strongly Disagree;5;No;No;No;Yes;Yes;No;No;No;No;Strongly Agree;Strongly Agree;Agree;Disagree;Neutral;Strongly Agree;No; ; ;Strongly Disagree;Agree;Strongly Agree;Agree;Strongly Agree;Strongly Disagree;1;2000;10000;8000;27;Married;1;Some college;Caucasian;$80,000 - $95,000;Male
359;Yes;Often;Neutral;Agree;Agree;Strongly Agree;Strongly Disagree;Disagree;Neutral;Agree;11;No;No;No;No;Yes;No;No;No;No;Strongly Agree;Agree;Agree;Neutral;Agree;Agree;No; ; ;Strongly Agree;Strongly Agree;Strongly Disagree;Strongly Agree;Strongly Agree;Strongly Disagree;8;9000;14000;11000;33;Married;4;Graduate degree;Caucasian;Over $110,000;Female
360;Yes;Occasionally;Neutral;Agree;Neutral;Disagree;Neutral;Disagree;Disagree;Strongly Agree;12;No;No;No;No;Yes;Yes;No;No;No;Neutral;Disagree;Agree;Disagree;Agree;Strongly Agree;No; ; ;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Disagree;Neutral;Disagree;1;7000;13000;12000;40;Married;2;Graduate degree;Caucasian;Over $110,000;Male
361;Yes;Often;Agree;Strongly Agree;Agree;Strongly Agree;Neutral;Disagree;Disagree;Strongly Agree;7;No;No;No;No;No;No;No;No;No;Strongly Disagree;Agree;Disagree;Strongly Disagree;Neutral;Strongly Agree;No; ; ;Neutral;Agree;Neutral;Disagree;Agree;Strongly Disagree;1;11000;16000;14000;42;Married;2;Graduate degree;Caucasian;Over $110,000;Male
362;Yes;Almost never;Disagree;Neutral;Disagree;Strongly Disagree;Strongly Agree;Neutral;Strongly Disagree;Agree;4;No;No;No;No;Yes;No;No;No;No;Strongly Disagree;Agree;Agree;Strongly Disagree;Agree;Strongly Agree;Yes;Yes;A great deal better;Strongly Agree;Strongly Agree;Strongly Disagree;Strongly Agree;Agree;Strongly Disagree;4;9000;14000;10000;36;Single; ;Some college;Black;$65,000 - $80,000;Male
363;Yes;Never;Strongly Disagree;Strongly Disagree;Strongly Disagree;Strongly Disagree;Strongly Agree;Strongly Disagree;Disagree;Strongly Disagree;3;No;No;No;Yes;Yes;No;No;No;No;Agree;Neutral;Disagree;Strongly Disagree;Agree;Strongly Agree;No; ; ;Agree;Strongly Agree;Strongly Disagree;Strongly Disagree;Agree;Strongly Disagree;6;6000;11000;8000;52;Married;2;Undergraduate degree;Caucasian;$95,000 - $110,000;Male
364;Yes;Very often;Neutral;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Disagree;Disagree;Agree;Neutral;9;No;No;No;Yes;Yes;No;Yes;No;No;Strongly Agree;Disagree;Neutral;Strongly Disagree;Agree;Neutral;No; ; ;Neutral;Strongly Agree;Strongly Disagree;Strongly Disagree;Agree;Neutral;4;19000;25000;22000;31;Single; ;Some college;Caucasian;$80,000 - $95,000;Male
365;Yes;Very often;Agree;Agree;Strongly Agree;Agree;Disagree;Strongly Disagree;Disagree;Strongly Disagree;11;No;No;No;No;Yes;Yes;No;No;No;Strongly Agree;Strongly Disagree;Neutral;Strongly Agree;Strongly Agree;Strongly Agree;No; ; ;Strongly Agree;Agree;Strongly Disagree;Neutral;Neutral;Neutral;6;10000;15000;13000;27;Single; ;Undergraduate degree;Caucasian;$80,000 - $95,000;Male
366;Yes;Never;Agree;Disagree;Strongly Disagree;Strongly Disagree;Neutral;Neutral;Neutral;Neutral;2;No;No;No;Yes;Yes;No;No;No;No;Neutral;Disagree;Agree;Disagree;Strongly Agree;Strongly Agree;Yes;Yes;Somewhat better;Strongly Agree;Agree;Strongly Disagree;Strongly Agree;Agree;Strongly Disagree;1;5000;12000;9000;38;Single; ;High school;Black;$65,000 - $80,000;Male
367;Yes;Often;Agree;Strongly Agree;Agree;Agree;Disagree;Strongly Disagree;Strongly Agree;Strongly Agree;6;No;No;No;Yes;Yes;No;No;No;Yes;Strongly Agree;Neutral;Strongly Disagree;Strongly Disagree;Neutral;Agree;No; ; ;Strongly Disagree;Strongly Agree;Strongly Agree;Strongly Disagree;Agree;Strongly Disagree;3;12000;17000;15000;22;Divorced;3;Other;Caucasian;Under $35,000;Male
368;Yes;Often;Strongly Agree;Strongly Agree;Agree;Agree;Strongly Disagree;Strongly Disagree;Strongly Disagree;Strongly Agree;11;No;No;No;Yes;Yes;No;No;No;No;Strongly Agree;Strongly Agree;Neutral;Disagree;Strongly Agree;Agree;Yes;Yes;Much better;Agree;Neutral;Strongly Disagree;Disagree;Neutral;Disagree;1;11000;15000;12000;35;Single; ;Undergraduate degree;Caucasian;$80,000 - $95,000;Male
369;Yes;Never;Agree;Strongly Disagree;Strongly Disagree;Strongly Disagree;Neutral;Strongly Disagree;Strongly Disagree;Strongly Agree;2;No;No;No;Yes;No;Yes;No;No;No;Disagree;Agree;Neutral;Neutral;Agree;Agree;No; ; ;Disagree;Agree;Strongly Agree;Agree;Strongly Agree;Agree;3;6000;11000;9000;31;Single; ;Other;Caucasian;Over $110,000;Female
370;Yes;Very often;Agree;Agree;Strongly Agree;Agree;Neutral;Disagree;Strongly Disagree;Strongly Agree;9;No;No;No;Yes;Yes;No;No;No;No;Strongly Disagree;Neutral;Neutral;Strongly Disagree;Agree;Strongly Agree;No; ; ;Strongly Disagree;Strongly Agree;Strongly Agree;Strongly Disagree;Strongly Agree;Strongly Disagree;1;13000;17000;15000;36;Married;1;Graduate degree;Black;Over $110,000;Male
371;Yes;Often;Agree;Agree;Agree;Agree;Neutral;Strongly Disagree;Strongly Disagree;Strongly Agree;8;No;No;Yes;Yes;Yes;No;Yes;No;No;Strongly Agree;Neutral;Agree;Agree;Agree;Agree;No; ; ;Neutral;Agree;Neutral;Agree;Neutral;Disagree;1;20000;24000;22000;32;Single; ;Undergraduate degree;Caucasian;$80,000 - $95,000;Male
372;Yes;Very often;Strongly Disagree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Disagree;Disagree;Disagree;Strongly Disagree;12;No;No;No;Yes;No;Yes;No;No;No;Neutral;Strongly Agree;Agree;Neutral;Agree;Agree;No; ; ;Strongly Disagree;Strongly Agree;Strongly Agree;Disagree;Neutral;Strongly Disagree;3; ;10000;8000;35;Single; ;Other;Asian;Under $35,000;Male
373;Yes;Never;Agree;Strongly Disagree;Strongly Disagree;Neutral;Agree;Agree;Disagree;Strongly Agree;2;No;No;No;No;Yes;Yes;No;No;No;Strongly Disagree;Agree;Agree;Agree;Neutral;Strongly Agree;No; ; ;Strongly Disagree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Disagree;3;18000;25000;23000;26;Married;0;Other;Caucasian;Over $110,000;Male
374;Yes;Almost never;Neutral;Neutral;Disagree;Disagree;Agree;Neutral;Strongly Disagree;Strongly Disagree;7;No;No;No;Yes;Yes;No;No;No;No;Strongly Agree;Neutral;Neutral;Agree;Strongly Agree;Strongly Agree;No; ; ;Strongly Disagree;Strongly Agree;Strongly Disagree;Strongly Agree;Strongly Disagree;Agree;6;13000;17000;15000;42;Single; ;Some college;Caucasian;$80,000 - $95,000;Male
375;Yes;Never;Strongly Disagree;Strongly Disagree;Strongly Disagree;Strongly Disagree;Strongly Agree;Disagree;Strongly Disagree;Disagree;4;No;No;No;No;No;Yes;No;Yes;No;Strongly Agree;Strongly Agree;Neutral;Strongly Disagree;Agree;Agree;No; ; ;Agree;Agree;Strongly Disagree;Neutral;Disagree;Strongly Disagree;5;18000;24000;22000;43;Single; ;Other;Black;Over $110,000;Female
376;Yes;Occasionally;Neutral;Neutral;Neutral;Neutral;Disagree;Disagree;Strongly Disagree;Strongly Agree;9;No;No;No;Yes;Yes;Yes;No;No;No;Strongly Agree;Disagree;Strongly Agree;Neutral;Neutral;Agree;Yes;Yes;Much better;Neutral;Strongly Agree;Strongly Disagree;Strongly Agree;Disagree;Strongly Disagree;3;13000;18000;14000;37;Divorced;1;Undergraduate degree;Caucasian;$80,000 - $95,000;Male
377;Yes;Almost never;Disagree;Disagree;Disagree;Strongly Disagree;Agree;Strongly Disagree;Agree;Strongly Disagree;6;No;No;No;No;Yes;Yes;No;No;No;Strongly Agree;Agree;Agree;Strongly Disagree;Neutral;Neutral;No; ; ;Strongly Disagree;Strongly Agree;Neutral;Strongly Agree;Agree;Strongly Disagree;1;16000;22000;21000;45;Divorced;0;Undergraduate degree;Caucasian;$95,000 - $110,000;Male
378;Yes;Almost never;Neutral;Neutral;Disagree;Neutral;Disagree;Disagree;Strongly Disagree;Agree;6;No;No;No;No;Yes;Yes;No;No;No;Strongly Disagree;Neutral;Disagree;Strongly Disagree;Agree;Neutral;No; ; ;Neutral;Agree;Strongly Disagree;Strongly Agree;Neutral;Disagree;5;8000;12000;10000;47;Divorced;1;High school;Caucasian;$80,000 - $95,000;Male
379;Yes;Often;Agree;Agree;Agree;Agree;Neutral;Disagree;Strongly Disagree;Agree;11;No;No;No;Yes;Yes;No;No;No;No;Strongly Agree;Agree;Agree;Disagree;Agree;Neutral;No; ; ;Strongly Disagree;Strongly Agree;Strongly Disagree;Disagree;Strongly Agree;Disagree;6;6000;11000;9000;53;Single; ;Less than high school;Black;$35,000 - $50,000;Male
380;Yes;Never;Strongly Disagree;Strongly Disagree;Strongly Disagree;Strongly Disagree;Neutral;Neutral;Agree;Strongly Disagree;3;No;No;No;No;Yes;No;No;No;No;Agree;Neutral;Agree;Disagree;Agree;Strongly Agree;No; ; ;Strongly Disagree;Agree;Disagree;Agree;Agree;Strongly Disagree;5;17000;20000;18000;31;Married;2;Graduate degree;Caucasian;Over $110,000;Female
381;Yes;Often;Strongly Agree;Agree;Agree;Agree;Neutral;Neutral;Neutral;Strongly Agree;8;No;No;No;No;No;No;No;No;No;Agree;Disagree;Disagree;Disagree;Agree;Strongly Agree;No; ; ;Neutral;Strongly Agree;Strongly Agree;Disagree;Agree;Disagree;2;19000;23000;20000;38;Divorced;1;Other;Caucasian;Over $110,000;Female
382;Yes;Never;Disagree;Disagree;Strongly Disagree;Strongly Disagree;Strongly Agree;Neutral;Disagree;Strongly Agree;1;No;No;No;No;Yes;Yes;No;No;Yes;Disagree;Strongly Agree;Agree;Neutral;Agree;Agree;No; ; ;Strongly Agree;Agree;Strongly Disagree;Strongly Agree;Agree;Strongly Agree;6;17000;22000;20000;52;Married;0;Some college;Caucasian;$95,000 - $110,000;Male
383;Yes;Never;Disagree;Strongly Disagree;Strongly Disagree;Agree;Strongly Disagree;Neutral;Strongly Agree;Strongly Agree;2;No;No;No;Yes;No;No;No;Yes;No;Agree;Strongly Agree;Neutral;Strongly Disagree;Neutral;Strongly Agree;No; ; ;Strongly Agree;Strongly Agree;Strongly Disagree;Strongly Agree;Disagree;Disagree;1; ;12000;10000;40;Single; ;High school;Black;$35,000 - $50,000;Male
384;Yes;Occasionally;Neutral;Agree;Neutral;Neutral;Strongly Agree;Neutral;Neutral;Strongly Disagree;7;Yes;No;No;Yes;Yes;Yes;No;No;No;Strongly Agree;Strongly Agree;Disagree;Disagree;Strongly Agree;Neutral;No; ; ;Strongly Agree;Strongly Agree;Strongly Disagree;Disagree;Disagree;Agree;3;19000;26000;24000;34;Married;3;Other;Caucasian;Over $110,000;Male
385;Yes;Almost never;Disagree;Neutral;Disagree;Neutral;Neutral;Disagree;Strongly Disagree;Neutral;5;No;No;No;No;Yes;Yes;No;No;No;Strongly Disagree;Agree;Neutral;Neutral;Agree;Strongly Agree;No; ; ;Disagree;Agree;Neutral;Agree;Agree;Neutral;1;26000;32000;29000;47;Single; ;Some college;Caucasian;$95,000 - $110,000;Male
386;Yes;Almost never;Disagree;Disagree;Disagree;Neutral;Agree;Disagree;Strongly Disagree;Neutral;3;No;No;No;Yes;Yes;Yes;No;No;No;Strongly Disagree;Neutral;Agree;Strongly Disagree;Strongly Agree;Agree;No; ; ;Strongly Disagree;Strongly Agree;Strongly Disagree;Strongly Disagree;Agree;Strongly Disagree;3;3000;10000;8000;43;Single; ;High school;Caucasian;$80,000 - $95,000;Male
387;Yes;Almost never;Disagree;Disagree;Disagree;Disagree;Strongly Agree;Strongly Disagree;Strongly Disagree;Strongly Agree;9;Yes;No;No;No;Yes;No;No;No;No;Strongly Agree;Disagree;Strongly Disagree;Strongly Disagree;Agree;Agree;No; ; ;Disagree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Strongly Disagree;4;11000;16000;14000;38;Married;2;Graduate degree;Caucasian;Over $110,000;Female
388;Yes;Almost never;Disagree;Neutral;Disagree;Disagree;Strongly Agree;Neutral;Strongly Disagree;Strongly Agree;6;No;No;No;Yes;Yes;No;No;No;No;Agree;Agree;Agree;Strongly Disagree;Agree;Neutral;No; ; ;Strongly Agree;Strongly Agree;Strongly Disagree;Strongly Disagree;Disagree;Strongly Disagree;1;11000;16000;14000;46;Divorced;0;Undergraduate degree;Caucasian;$95,000 - $110,000;Male
389;Yes;Never;Strongly Disagree;Disagree;Strongly Disagree;Strongly Disagree;Neutral;Strongly Disagree;Neutral;Neutral;3;No;No;No;Yes;Yes;No;No;No;No;Neutral;Agree;Neutral;Strongly Disagree;Agree;Agree;No; ; ;Strongly Agree;Agree;Strongly Disagree;Strongly Agree;Neutral;Strongly Disagree;1;15000;19000;17000;25;Married;2;Graduate degree;Black;Over $110,000;Male
